"year";"rating";"duration";"must_see";"metascore";"user_score";"number_critics";"number_users";"genre_drama";"genre_crime";"genre_mystery";"genre_romance";"genre_adventure";"genre_biography";"genre_thriller";"genre_comedy";"genre_history";"genre_documentary";"genre_others"
1979;2;1;1;91;80;15;20;1;0;0;0;0;0;0;1;0;0;1
2024;0;1;0;91;73;11;6;0;0;0;0;0;0;0;0;0;1;1
1999;0;2;1;91;69;19;15;1;0;0;0;0;0;0;0;0;0;1
2015;4;2;1;91;73;49;166;1;0;0;0;0;0;0;0;0;0;1
1939;1;0;0;91;66;8;5;1;0;0;1;0;0;0;1;0;0;0
1931;6;0;1;91;79;15;75;1;0;0;0;0;0;1;0;0;0;1
2019;2;3;1;91;75;57;522;1;0;0;1;0;0;0;0;0;0;0
1995;0;3;1;91;0;20;0;1;0;0;0;0;0;0;0;0;0;0
1952;6;2;1;91;73;15;58;1;0;0;1;1;0;0;0;0;0;1
2003;3;0;1;91;77;35;94;1;0;0;0;1;0;0;1;0;0;1
1975;2;0;1;91;85;24;435;0;0;0;0;1;0;0;1;0;0;1
1975;2;3;1;91;74;16;24;1;0;0;0;1;0;0;0;0;0;1
2021;3;0;1;91;79;33;63;1;0;0;0;0;1;0;0;0;1;1
1930;6;3;1;91;83;16;51;1;0;0;0;0;0;0;0;0;0;1
2017;0;3;1;91;77;23;14;0;0;0;0;0;0;0;0;0;1;0
2006;0;2;0;91;74;8;97;1;0;0;0;0;0;1;0;0;0;1
2024;0;1;1;91;76;21;25;1;0;0;0;0;0;0;0;0;0;0
1939;6;1;0;91;81;7;8;1;0;0;0;0;1;0;0;1;0;0
1956;0;0;0;91;77;7;16;0;1;0;0;0;0;0;1;0;0;0
2013;3;2;1;91;79;36;57;0;0;0;0;0;0;0;0;0;1;0
2023;3;3;1;91;75;55;244;1;0;0;0;1;0;0;0;0;0;1
2018;0;3;0;91;77;9;6;1;0;0;0;0;0;0;1;0;0;0
1954;6;2;1;91;87;15;211;1;1;0;0;0;0;1;0;0;0;0
2015;0;0;1;91;70;25;75;1;0;0;0;0;0;0;1;0;0;0
2014;3;0;1;91;75;35;217;1;0;0;0;0;0;0;0;0;0;0
2022;0;2;1;91;76;34;16;0;0;0;0;0;0;0;0;0;1;0
2000;0;0;1;91;74;20;31;1;0;0;0;0;0;0;0;0;0;1
2013;4;3;1;91;86;47;1;1;0;0;1;0;0;0;0;0;0;1
2008;4;0;1;91;78;33;111;1;0;1;0;0;1;0;0;1;1;1
2022;0;1;1;91;74;28;21;1;0;0;0;0;0;0;1;0;0;1
2018;4;1;1;91;85;27;99;0;0;0;0;0;0;0;0;1;1;1
1964;0;2;1;91;85;17;0;1;0;0;0;0;0;0;0;0;0;0
2018;4;2;1;91;77;53;539;1;0;0;0;0;1;0;1;1;0;0
1997;4;2;1;91;78;23;51;1;0;0;0;0;0;0;0;0;0;0
1983;2;3;1;91;80;16;33;1;0;0;0;1;1;0;0;1;0;0
1942;1;0;1;91;76;16;121;1;0;0;0;1;0;0;0;0;0;1
1938;6;1;1;91;76;17;28;0;0;0;0;0;0;0;1;0;0;0
2013;3;1;1;91;67;27;34;0;0;0;0;0;0;0;0;1;1;1
2011;0;0;1;91;81;19;20;0;0;0;0;0;0;0;0;0;1;0
2004;4;0;1;91;87;39;356;1;0;0;1;0;0;0;0;0;0;0
2022;4;3;1;91;77;47;146;1;0;0;1;0;0;0;1;0;0;0
1935;6;3;0;91;66;8;5;1;0;0;1;1;0;0;0;0;0;1
1998;4;3;1;91;87;38;1;1;0;0;0;0;0;0;0;0;0;1
2021;4;3;1;90;66;55;317;1;0;0;1;0;0;0;1;0;0;0
1959;6;3;0;90;86;9;171;1;0;0;0;1;0;0;0;0;0;0
2016;2;2;1;90;83;19;125;1;0;0;1;0;0;0;0;0;0;1
2023;0;1;0;90;0;9;0;0;0;0;0;0;0;0;0;0;1;0
1992;4;2;1;90;75;22;74;1;1;0;1;0;0;1;0;0;0;0
1947;6;2;1;90;67;15;7;1;0;1;1;1;0;0;0;0;0;0
2020;3;3;1;90;70;44;131;1;0;0;0;0;0;0;0;0;0;1
1972;6;2;1;90;0;21;0;1;1;0;0;0;0;1;0;0;0;0
1978;4;0;1;90;85;21;695;0;0;0;0;0;0;1;0;0;0;1
2001;4;2;1;90;76;31;148;1;0;0;0;0;0;0;1;0;0;0
2010;4;1;1;90;75;38;472;1;0;1;0;0;0;0;0;0;0;0
2006;3;1;1;90;77;38;144;1;0;0;0;0;1;0;0;0;0;0
2015;0;2;1;90;76;20;42;1;0;0;0;0;0;0;0;0;0;0
2017;0;0;1;90;65;20;18;1;0;0;0;0;0;0;0;1;1;1
1977;3;3;0;90;78;10;272;1;0;0;0;0;0;0;0;0;0;1
1974;4;3;1;90;90;18;1;1;1;0;0;0;0;0;0;0;0;0
1961;6;3;1;90;83;18;26;1;0;0;0;0;0;0;0;0;0;1
1968;0;3;0;90;83;10;12;1;0;0;0;0;0;0;0;0;0;0
2021;4;2;0;90;59;13;11;0;0;0;0;0;0;0;0;0;1;0
2001;3;3;0;90;78;8;14;0;0;0;0;0;0;0;0;0;1;0
1967;6;3;0;90;88;7;705;0;0;0;0;1;0;0;0;0;0;1
2002;4;2;1;90;78;31;33;1;0;0;0;0;0;0;0;1;0;1
2003;4;1;1;90;76;42;69;1;0;0;0;0;1;0;1;0;0;0
2017;4;3;1;90;77;51;566;1;0;0;1;0;0;0;0;0;0;0
2001;4;3;1;90;73;34;136;1;0;1;0;0;0;0;1;0;0;0
1974;4;0;1;90;77;16;202;0;0;0;0;0;0;0;0;0;0;1
1963;6;2;1;90;78;16;127;1;0;1;1;0;0;0;0;0;0;1
2021;0;2;0;90;25;12;0;0;0;0;0;0;0;0;0;0;1;0
2011;0;0;0;90;73;9;19;0;0;0;0;0;1;0;0;1;1;1
2016;0;2;0;90;55;7;17;1;0;0;0;0;0;0;0;0;0;0
2012;2;0;0;90;80;7;76;1;0;1;0;0;0;1;1;0;0;1
2021;4;2;1;90;63;39;24;1;0;0;1;0;0;0;0;0;0;0
